algorithm,quality_target,loss_threshold,reached,field_evaluations_to_target,seconds_to_target
adjoint,response_alignment,-1220.675,True,53,1.168258300051093
adjoint,lbfgsb_reference,-1593.498,True,89,1.457782400015276
adjoint,high_quality,-1800.0,True,163,2.0038129000458866
adjoint,near_adam_quality,-1860.0,True,350,3.4352682000026107
cmaes,response_alignment,-1220.675,True,2734,17.51493250002386
cmaes,lbfgsb_reference,-1593.498,True,5762,29.296771900029853
cmaes,high_quality,-1800.0,False,,
cmaes,near_adam_quality,-1860.0,False,,
gabs,response_alignment,-1220.675,True,2832,9.582951199961826
gabs,lbfgsb_reference,-1593.498,False,,
gabs,high_quality,-1800.0,False,,
gabs,near_adam_quality,-1860.0,False,,
geometric,response_alignment,-1220.675,False,,
geometric,lbfgsb_reference,-1593.498,False,,
geometric,high_quality,-1800.0,False,,
geometric,near_adam_quality,-1860.0,False,,
lshade,response_alignment,-1220.675,True,3900,18.404602899972815
lshade,lbfgsb_reference,-1593.498,True,9453,41.44433039997239
lshade,high_quality,-1800.0,False,,
lshade,near_adam_quality,-1860.0,False,,
ppo,response_alignment,-1220.675,False,,
ppo,lbfgsb_reference,-1593.498,False,,
ppo,high_quality,-1800.0,False,,
ppo,near_adam_quality,-1860.0,False,,
response_alignment,response_alignment,-1220.675,True,1,0.03623559995321557
response_alignment,lbfgsb_reference,-1593.498,False,,
response_alignment,high_quality,-1800.0,False,,
response_alignment,near_adam_quality,-1860.0,False,,
sac,response_alignment,-1220.675,False,,
sac,lbfgsb_reference,-1593.498,False,,
sac,high_quality,-1800.0,False,,
sac,near_adam_quality,-1860.0,False,,
spsa,response_alignment,-1220.675,False,,
spsa,lbfgsb_reference,-1593.498,False,,
spsa,high_quality,-1800.0,False,,
spsa,near_adam_quality,-1860.0,False,,
